,Relationship to the child,Total,Percent,Daily,Daily_From,Daily_To,Weekly,Weekly_From,Weekly_To,Occasionally,Occasionally_From,Occasionally_To,Never,Never_From,Never_To,NA,NA_From,NA_To,NS,NS_From,NS_To
0,Elders - Canada,"96,730",100,7,6.5,7.5,19.0,18.3,20.0,24.0,22.9,24.8,38.0,36.6,38.7,9.0,8.5,9.8,3.0,2.6,3.4
1,Elders - Quebec,"7,190",100,6,4.4,8.1,20.0,16.3,23.2,23.0,19.7,27.0,36.0,32.3,40.3,11.0,7.8,13.9,5.0,3.7,5.2
2,Elders - Ontario,"20,860",100,6,5.0,7.9,20.0,17.9,22.3,24.0,22.1,26.9,36.0,33.6,39.0,10.0,8.0,11.2,3.0,2.3,4.5
3,Elders - Manitoba,"14,220",100,6,5.2,7.8,19.0,16.9,21.0,24.0,21.6,26.4,38.0,35.4,40.6,11.0,8.9,12.4,2.0,1.4,2.9
4,Elders - Saskatchewan,"11,940",100,8,6.8,9.9,21.0,18.8,23.4,24.0,21.6,26.4,36.0,33.0,38.2,8.0,7.0,9.9,3.0,1.8,3.9
5,Elders - Alberta,"16,830",100,5,3.9,6.2,15.0,13.3,17.0,27.0,24.4,29.1,41.0,38.7,43.7,9.0,7.4,10.4,3.0,2.3,4.2
6,Elders - British Columbia,"14,400",100,5,4.1,6.6,17.0,15.3,19.4,24.0,21.6,26.4,43.0,40.7,46.1,8.0,6.2,9.0,3.0,1.7,3.5
7,Elders - Yukon,720,100,10,7.5,13.9,28.0,20.6,35.2,26.0,20.4,34.1,29.0,22.7,38.1,0.0,0.0,0.0,0.0,0.0,0.0
8,Elders - Northwest Territories,"2,150",100,14,12.0,16.2,27.0,23.8,29.8,19.0,16.3,22.1,28.0,24.7,31.2,7.0,5.8,9.4,5.0,3.7,6.1
9,Elders - Nunavut,"3,530",100,18,15.9,20.8,25.0,22.3,27.9,15.0,12.9,17.7,25.0,22.4,27.9,11.0,9.3,13.4,5.0,3.9,6.8
